MontoPagado;Interes;Plazo;Tipo;Mensualidad;MontoAsegurado;TipoPago;ModoPago;Fiador;Fiador2;OtroSeguro;Record;Edad;EstadoCivil;Salario;Fraude
4934359.66;17.25;474.6666667;Nacional;36160.70769;765075.7576;B;Tarjeta;Si;No;No;R0;32;Soltero;7673.823;No
12969964.2;17.25;471.6666667;Nacional;45291.36154;2047500;A;Tarjeta;Si;No;No;R0;35.5;Soltero;17672.774;No
2564188.98;17.25;474.6666667;Nacional;12873.83077;401439.3939;A;Tarjeta;No;No;No;R0;35;Soltero;14014.363;No
3929309.86;17.25;473;Nacional;17168.68846;622651.5152;A;Cajas;No;No;Si;R2;38;Soltero;5586.88;No
6010801.54;17.25;474.6666667;Nacional;23443.08462;930227.2727;A;Tarjeta;No;No;No;R0;31.5;Soltero;6032.598;No
5217566.28;12.25;474.6666667;Nacional;19534.61538;811136.3636;A;Tarjeta;Si;No;No;R0;31.5;Soltero;6573.037;No
2080302.46;17.25;474.6666667;Nacional;11389.96538;327196.9697;A;Tarjeta;No;No;No;R0;34.5;Soltero;4361.59;No
18605754.62;17.25;473.3333333;Nacional;62577.23077;2916590.909;A;Tarjeta;Si;No;No;R0;35;Soltero;0;No
1935002.66;17.25;473.3333333;Nacional;10997.61923;310530.303;A;Tarjeta;No;No;Si;R1;35;Soltero;0;No
3777100.64;17.75;473;Nacional;16809.26923;598409.0909;A;Tarjeta;No;No;No;R0;37.5;Soltero;0;No
1677485.8;12.25;474.6666667;Nacional;9700.384615;265075.7576;A;Tarjeta;Si;No;No;R0;32.5;Soltero;4741.185;No
2564208.62;17.25;474.6666667;Nacional;12873.89231;401439.3939;A;Tarjeta;No;No;Si;R2;31;Soltero;3579.095;No
2114212.6;17.75;471.3333333;Nacional;8088.146154;340833.3333;C;Tarjeta;No;No;No;R0;36.5;Soltero;0;No
1951599.8;17.25;474.6666667;Nacional;10995.28846;310530.303;A;Tarjeta;No;No;Si;R2;51.5;Viudo;4956.144;No
3300633.1;17.25;474.6666667;Nacional;9732.611538;522651.5152;C;Tarjeta;No;No;No;R0;40.5;Soltero;5496.583;No
1979754.68;17.75;473;Nacional;17878.22692;319924.2424;B;Tarjeta;No;No;No;R0;34;Soltero;0;No
5707310.54;17.75;473.3333333;Nacional;23951.82692;907500;A;Tarjeta;No;No;No;R0;36;Soltero;0;No
1047780.32;17.75;473.6666667;Nacional;11832.22308;174166.6667;B;Tarjeta;No;No;No;R0;35;Soltero;0;No
3917539.9;17.75;473.6666667;Nacional;10658.98846;613560.6061;C;Tarjeta;Si;No;No;R0;42;Soltero;0;No
13811615.14;17.25;474.6666667;Nacional;47364.75769;2128712.121;A;Tarjeta;No;No;No;R0;40.5;Soltero;21628.857;No
7720446.9;17.75;473.3333333;Nacional;55139.29615;1219621.212;B;Tarjeta;No;No;Si;R2;39.5;Soltero;0;No
2956931.48;17.25;474.6666667;Nacional;14078.2;462045.4545;A;Tarjeta;No;No;Si;R1;33;Soltero;3871.869;No
9864493.9;17.75;474.6666667;Nacional;35547.11538;1522651.515;A;Tarjeta;No;No;No;R0;45.5;Soltero;10784.448;No
